hourly_wage,education,gender,hours_cat,experience,depression_score,hh_income,year_born,region,full_time_status,job_role,months_per_year,race,hispanic_latino,country_of_birth,works_public_school,urban_density,college_for_pd,workshop_for_pd,enrolled_in_college,interaction_quality_total,self_rated_health
10.0,Less than High School,Female,Over 40 hours,>5 to <=10 years,4.0,"Less than $15,000",1962,South,Full-time worker,"Teacher, instructor, or lead teacher",12,Black or African American Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,Not applicable. WF respondent did not graduate high school,All items correct,Fair
15.38,Some college credit but no degree,Female,40 hours,>20 to <=25 years,1.166666666667,"$30,001 to $45,000",1972,Midwest,Full-time worker,"Teacher, instructor, or lead teacher",12,Black or African American Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Very good
12.75,High school graduate,Female,40 hours,<=5 years,1.0,Don't Know/Refused/No Answer,1995,West,Full-time worker,Aide or assistant teacher,5,White Only,Hispanic or Latino,Mexico,WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,Three items correct,Excellent
14.78991596639,Some college credit but no degree,Female,31 to 35 hours,>5 to <=10 years,9.0,"$15,001 to $30,000",1991,West,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Hispanic or Latino,Mexico,WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,Yes,All items correct,Fair
20.0,"Bachelor's degree (BA, BS, AB)",Female,40 hours,>20 to <=25 years,0.0,"$30,001 to $45,000",1990,Midwest,Full-time worker,"Teacher, instructor, or lead teacher",12,Asian Only,Not Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Two items correct,Excellent
13.23529411765,"Associate degree (AA, AS)",Female,40 hours,>5 to <=10 years,3.0,"$60,001 or more",1960,South,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Very good
12.35294117648,"Associate degree (AA, AS)",Female,40 hours,>25 years,3.0,"$30,001 to $45,000",1955 to 1959,South,Full-time worker,"Teacher, instructor, or lead teacher",12,Black or African American Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Excellent
10.0,GED or high school equivalency,Female,40 hours,>5 to <=10 years,0.0,"Less than $15,000",1978,South,Full-time worker,"Teacher, instructor, or lead teacher",12,Don't know/Refused/No Answer,Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,Three items correct,Very good
23.80952380953,"Bachelor's degree (BA, BS, AB)",Female,21 to 30 hours,>20 to <=25 years,3.0,"$60,001 or more",1962,Midwest,Part-time worker,"Teacher, instructor, or lead teacher",9,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Excellent
58.33333333334,"Bachelor's degree (BA, BS, AB)",Female,31 to 35 hours,>10 to <=15 years,8.0,"$60,001 or more",1989,Northeast,Full-time worker,"Teacher, instructor, or lead teacher",10,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from CB provider associated with a Public School District,High density of urban population,No,Yes,Yes,All items correct,Fair
WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,Midwest,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from CB provider associated with a Public School District,High density of urban population,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data
11.0,"Associate degree (AA, AS)",Female,20 hours or less,<=5 years,0.0,"Less than $15,000",1987,South,Part-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,Yes,Three items correct,Fair
7.75,Less than High School,Female,20 hours or less,<=5 years,10.0,Don't Know/Refused/No Answer,1997 and later,Midwest,Part-time worker,Aide or assistant teacher,12,Other,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,Not applicable. WF respondent did not graduate high school,Two items correct,Fair
29.47142857143,"Bachelor's degree (BA, BS, AB)",Female,31 to 35 hours,>15 to <=20 years,0.0,"$60,001 or more",1963,South,Full-time worker,Aide or assistant teacher,10,Other,Hispanic or Latino,Other,WF spawned from CB provider associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Excellent
14.92,Some college credit but no degree,Female,40 hours,>25 years,1.0,"$30,001 to $45,000",1955 to 1959,South,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Don't Know/Refused/No Answer,Yes,No,All items correct,Very good
19.0,"Bachelor's degree (BA, BS, AB)",Female,40 hours,>5 to <=10 years,1.0,"$30,001 to $45,000",1989,West,Full-time worker,"Teacher, instructor, or lead teacher",12,Asian Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Very good
15.4,High school graduate,Female,36 to 39 hours,<=5 years,3.0,"$15,001 to $30,000",1980,West,Full-time worker,Aide or assistant teacher,10,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,Two items correct,Very good
13.5,High school graduate,Female,40 hours,>25 years,9.0,"$15,001 to $30,000",1969,Northeast,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Fair
11.0,High school graduate,Female,40 hours,<=5 years,1.0,"Less than $15,000",1997 and later,West,Full-time worker,"Teacher, instructor, or lead teacher",11,Don't know/Refused/No Answer,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,Two items correct,Very good
13.54166666667,Some college credit but no degree,Female,40 hours,>5 to <=10 years,0.0,"$60,001 or more",1973,West,Full-time worker,"Teacher, instructor, or lead teacher",9,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Very good
10.41666666667,"Bachelor's degree (BA, BS, AB)",Female,Over 40 hours,>5 to <=10 years,0.0,"$60,001 or more",1969,West,Full-time worker,Aide or assistant teacher,9,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Excellent
13.28,High school graduate,Female,40 hours,>20 to <=25 years,1.0,"$15,001 to $30,000",1963,South,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,One or more items missing,Fair
15.68,"Associate degree (AA, AS)",Female,40 hours,>15 to <=20 years,3.0,"$15,001 to $30,000",1978,South,Full-time worker,"Teacher, instructor, or lead teacher",12,Black or African American Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,Yes,All items correct,Very good
15.68000000001,"Bachelor's degree (BA, BS, AB)",Female,40 hours,>5 to <=10 years,5.0,"$15,001 to $30,000",1994,South,Full-time worker,"Teacher, instructor, or lead teacher",12,Black or African American Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Fair
4.375,Some college credit but no degree,Male,40 hours,<=5 years,7.0,"$15,001 to $30,000",1997 and later,Northeast,Full-time worker,Aide or assistant teacher,12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,All items correct,Very good
15.53,Some college credit but no degree,Don't Know/Refused/No Answer,20 hours or less,>5 to <=10 years,Three or more responses missing,Don't Know/Refused/No Answer,Don't Know/Refused/No Answer,Northeast,Part-time worker,Aide or assistant teacher,10,Don't know/Refused/No Answer,Don't know/Refused/No Answer,Don't know/Refused/No Answer,WF spawned from CB provider associated with a Public School District,High density of urban population,No,Yes,No,One or more items missing,Don't know/Refused/No answer
9.0,Some college credit but no degree,Female,40 hours,>10 to <=15 years,0.0,"Less than $15,000",1974,South,Full-time worker,"Teacher, instructor, or lead teacher",9,Black or African American Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,No,All items correct,Fair
11.4,High school graduate,Female,40 hours,>5 to <=10 years,1.0,Don't Know/Refused/No Answer,1990,Northeast,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Very good
11.0,"Associate degree (AA, AS)",Male,40 hours,<=5 years,3.0,"$30,001 to $45,000",Don't Know/Refused/No Answer,Northeast,Full-time worker,Aide or assistant teacher,12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,Yes,One item correct,Excellent
6.2875,GED or high school equivalency,Female,40 hours,<=5 years,0.0,"$15,001 to $30,000",1960,South,Full-time worker,"Teacher, instructor, or lead teacher",12,Black or African American Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,Rural population,No,Yes,No,One item correct,Excellent
11.49,"Bachelor's degree (BA, BS, AB)",Female,20 hours or less,>15 to <=20 years,2.0,"$60,001 or more",1966,Midwest,Part-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Two items correct,Very good
18.53,"Bachelor's degree (BA, BS, AB)",Female,40 hours,>15 to <=20 years,0.0,"$60,001 or more",1975,West,Full-time worker,"Teacher, instructor, or lead teacher",10,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from CB provider associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Excellent
6.875,Graduate or professional degree,Female,40 hours,>25 years,0.0,"$45,001 to $60,000",1968,South,Full-time worker,"Teacher, instructor, or lead teacher",10,Black or African American Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,All items correct,Very good
12.0,Some college credit but no degree,Female,36 to 39 hours,<=5 years,0.0,"$45,001 to $60,000",1996,West,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,One or more items missing,Excellent
18.0,Some college credit but no degree,Female,21 to 30 hours,>5 to <=10 years,3.0,"$60,001 or more",1983,West,Part-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Very good
10.0,"Associate degree (AA, AS)",Female,21 to 30 hours,>5 to <=10 years,1.0,"Less than $15,000",1989,South,Part-time worker,"Teacher, instructor, or lead teacher",12,Black or African American Only,Not Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Excellent
22.0,"Bachelor's degree (BA, BS, AB)",Female,40 hours,>5 to <=10 years,8.0,"$30,001 to $45,000",1996,West,Full-time worker,"Teacher, instructor, or lead teacher",6,Asian Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Very good
11.86666666667,"Bachelor's degree (BA, BS, AB)",Female,21 to 30 hours,>5 to <=10 years,0.0,"$60,001 or more",1977,South,Part-time worker,"Teacher, instructor, or lead teacher",12,Black or African American Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,No,No,All items correct,Fair
15.0,Some college credit but no degree,Female,40 hours,>10 to <=15 years,1.0,"$15,001 to $30,000",1975,South,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,All items correct,Very good
11.0,"Associate degree (AA, AS)",Female,40 hours,>5 to <=10 years,0.0,"$30,001 to $45,000",Don't Know/Refused/No Answer,West,Full-time worker,"Teacher, instructor, or lead teacher",11,Don't know/Refused/No Answer,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,Three items correct,Very good
WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,Northeast,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from CB provider associated with a Public School District,High density of urban population,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data
35.80246913581,Graduate or professional degree,Female,Over 40 hours,>25 years,0.0,"$60,001 or more",1962,South,Full-time worker,"Teacher, instructor, or lead teacher",9,Other,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from CB provider associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Excellent
10.0,High school graduate,Female,40 hours,>10 to <=15 years,0.0,"$60,001 or more",1996,Midwest,Full-time worker,Aide or assistant teacher,12,Black or African American Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,Two items correct,Very good
9.5,Some college credit but no degree,Female,40 hours,>10 to <=15 years,0.0,"$15,001 to $30,000",1994,South,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,Three items correct,Excellent
11.0,Some college credit but no degree,Female,40 hours,>10 to <=15 years,13.0,"Less than $15,000",1990,South,Full-time worker,"Teacher, instructor, or lead teacher",12,Black or African American Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,No,All items correct,Fair
19.47,Some college credit but no degree,Female,31 to 35 hours,>10 to <=15 years,1.0,"$15,001 to $30,000",1988,Northeast,Full-time worker,"Teacher, instructor, or lead teacher",12,Black or African American Only,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,Yes,All items correct,Excellent
38.88888888889,Graduate or professional degree,Female,40 hours,>25 years,0.0,"$60,001 or more",1955 to 1959,Northeast,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Excellent
12.0,Some college credit but no degree,Female,Over 40 hours,>5 to <=10 years,0.0,Don't Know/Refused/No Answer,1981,South,Full-time worker,Aide or assistant teacher,9,Black or African American Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Very good
22.61904761905,"Associate degree (AA, AS)",Female,40 hours,>10 to <=15 years,3.0,"$45,001 to $60,000",1984,South,Full-time worker,"Teacher, instructor, or lead teacher",12,Don't know/Refused/No Answer,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from CB provider associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Very good
10.25,"Bachelor's degree (BA, BS, AB)",Female,40 hours,>10 to <=15 years,4.0,"$15,001 to $30,000",1975,South,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,Yes,All items correct,Very good
9.5,Some college credit but no degree,Female,40 hours,>25 years,5.0,"$15,001 to $30,000",1979,South,Full-time worker,"Teacher, instructor, or lead teacher",3,Black or African American Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,Yes,One item correct,Very good
38.88888888889,Graduate or professional degree,Female,40 hours,>10 to <=15 years,0.0,"$60,001 or more",1970,South,Full-time worker,"Teacher, instructor, or lead teacher",10,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from CB provider associated with a Public School District,High density of urban population,Yes,Yes,No,All items correct,Excellent
WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,Midwest,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from CB provider associated with a Public School District,High density of urban population,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data
12.0,High school graduate,Female,Over 40 hours,>5 to <=10 years,0.0,"$30,001 to $45,000",1971,West,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Hispanic or Latino,Mexico,WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,All items correct,Very good
31.25,"Bachelor's degree (BA, BS, AB)",Female,40 hours,>10 to <=15 years,2.0,"$60,001 or more",1985,Midwest,Full-time worker,"Teacher, instructor, or lead teacher",10,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from CB provider associated with a Public School District,Moderate density of urban population,No,Yes,No,All items correct,Very good
Not enough information to calculate hourly wage,Some college credit but no degree,Female,40 hours,Don't Know/Refused/No Answer,0.0,Don't Know/Refused/No Answer,Don't Know/Refused/No Answer,West,Full-time worker,Aide or assistant teacher,Don't know/Refused/No Answer,White Only,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from CB provider associated with a Public School District,High density of urban population,No,No,No,Three items correct,Very good
18.0,"Associate degree (AA, AS)",Female,40 hours,>15 to <=20 years,0.0,"$30,001 to $45,000",1973,West,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,Yes,All items correct,Very good
WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,Midwest,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from CB provider associated with a Public School District,High density of urban population,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data
42.90350877193,Graduate or professional degree,Female,36 to 39 hours,>10 to <=15 years,10.0,"$60,001 or more",1982,South,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from CB provider associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Excellent
WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,Northeast,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from CB provider associated with a Public School District,High density of urban population,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data
15.0,"Associate degree (AA, AS)",Female,20 hours or less,>25 years,Three or more responses missing,Don't Know/Refused/No Answer,1973,Midwest,Part-time worker,"Teacher, instructor, or lead teacher",9,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Fair
21.0,Graduate or professional degree,Female,20 hours or less,>5 to <=10 years,3.0,"$60,001 or more",1981,Midwest,Part-time worker,"Teacher, instructor, or lead teacher",8,Asian Only,Not Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Very good
17.3076923077,"Associate degree (AA, AS)",Female,40 hours,>5 to <=10 years,0.0,"$30,001 to $45,000",1982,South,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,Yes,Three items correct,Very good
51.42857142858,Some college credit but no degree,Female,20 hours or less,>10 to <=15 years,7.0,"Less than $15,000",1966,West,Part-time worker,Aide or assistant teacher,6,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from CB provider associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Excellent
WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,Midwest,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from CB provider associated with a Public School District,High density of urban population,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data
Not enough information to calculate hourly wage,Less than High School,Male,Over 40 hours,>10 to <=15 years,0.0,Don't Know/Refused/No Answer,1977,West,Full-time worker,"Teacher, instructor, or lead teacher",6,White Only,Hispanic or Latino,Mexico,WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,Not applicable. WF respondent did not graduate high school,Two items correct,Very good
11.0,High school graduate,Female,40 hours,>10 to <=15 years,0.0,"$15,001 to $30,000",1966,South,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Excellent
21.25,"Bachelor's degree (BA, BS, AB)",Female,40 hours,>25 years,1.0,"$60,001 or more",1962,Midwest,Full-time worker,"Teacher, instructor, or lead teacher",10,White Only,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Fair
Not enough information to calculate hourly wage,Some college credit but no degree,Female,Over 40 hours,>10 to <=15 years,0.0,"$30,001 to $45,000",1972,South,Full-time worker,"Teacher, instructor, or lead teacher",Don't know/Refused/No Answer,White Only,Hispanic or Latino,Other,WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,Yes,Three items correct,Excellent
20.37037037039,Some college credit but no degree,Female,20 hours or less,>5 to <=10 years,4.0,"Less than $15,000",1991,West,Part-time worker,Aide or assistant teacher,6,Asian Only,Not Hispanic or Latino,Other,WF spawned from CB provider associated with a Public School District,High density of urban population,Yes,No,No,Three items correct,Very good
10.0,"Associate degree (AA, AS)",Female,Over 40 hours,<=5 years,6.0,"$30,001 to $45,000",1983,South,Full-time worker,Aide or assistant teacher,1,Don't know/Refused/No Answer,Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,No,One item correct,Excellent
WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,Northeast,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from CB provider associated with a Public School District,High density of urban population,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data,WF spawned from center with only administrative data
Not enough information to calculate hourly wage,"Bachelor's degree (BA, BS, AB)",Female,40 hours,>10 to <=15 years,3.0,Don't Know/Refused/No Answer,1981,South,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,No,All items correct,Very good
10.0,"Associate degree (AA, AS)",Female,21 to 30 hours,>25 years,0.0,"$45,001 to $60,000",1961,South,Part-time worker,Aide or assistant teacher,10,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Very good
16.0,Some college credit but no degree,Female,Over 40 hours,>15 to <=20 years,10.0,"$15,001 to $30,000",1983,South,Full-time worker,"Teacher, instructor, or lead teacher",3,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,Three items correct,Very good
107.5,Graduate or professional degree,Female,Over 40 hours,>25 years,2.0,"$60,001 or more",1961,West,Full-time worker,"Teacher, instructor, or lead teacher",10,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from CB provider associated with a Public School District,High density of urban population,No,Yes,No,All items correct,Very good
14.0,"Bachelor's degree (BA, BS, AB)",Female,Over 40 hours,>5 to <=10 years,12.0,"$15,001 to $30,000",1986,West,Full-time worker,Aide or assistant teacher,12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,Yes,Yes,Yes,Three items correct,Very good
1.28571428571,High school graduate,Female,31 to 35 hours,<=5 years,0.0,"$15,001 to $30,000",1988,South,Full-time worker,"Teacher, instructor, or lead teacher",12,Black or African American Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,High density of urban population,No,No,No,Three items correct,Very good
8.125,Some college credit but no degree,Female,40 hours,>5 to <=10 years,9.0,"Less than $15,000",1982,South,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,Moderate density of urban population,Yes,Yes,Yes,Three items correct,Fair
10.825,GED or high school equivalency,Female,40 hours,<=5 years,1.0,"$30,001 to $45,000",1974,South,Full-time worker,"Teacher, instructor, or lead teacher",12,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,Moderate density of urban population,No,Yes,No,Three items correct,Fair
15.6,"Bachelor's degree (BA, BS, AB)",Female,40 hours,>5 to <=10 years,0.0,"$60,001 or more",1970,Midwest,Full-time worker,Aide or assistant teacher,9,White Only,Not Hispanic or Latino,"U.S., including U.S. territories",WF spawned from a CB provider not associated with a Public School District,Moderate density of urban population,No,Yes,No,All items correct,Excellent
